,Company Name,Stock Code,Disclosure Date,Day,Month,Year,3-day Price Change,Day_Token
0,Sony,SNE,31-May-11,31,5,2011,-0.3600010000000005,1
1,Terracom,TER.AX,23-May-13,23,5,2013,0.0,1
2,Adobe,ADBE,03-Oct-13,3,10,2013,-1.2999989999999997,1
3,Target,TGT,01-Jan-14,1,1,2014,-0.2700000000000031,1
4,Ebay,EBAY,21-Mar-14,21,3,2014,-0.5723909999999997,1
5,Home Depot,HD,02-Sep-14,2,9,2014,0.4599989999999962,1
6,Google,GOOG,10-Sep-14,10,9,2014,-9.945313000000057,1
7,Sony,SNE,08-Dec-14,8,12,2014,-0.41000000000000014,1
8,Premera,ESRX,29-Jan-15,29,1,2015,-0.4099960000000067,1
9,Anthem,ANTM,04-Feb-15,4,2,2015,-2.7699889999999807,1
10,Experian,EXPN.L,01-Oct-15,1,10,2015,1.0,1
11,TalkTalk,TALK.L,06-Nov-15,6,11,2015,19.899993999999992,1
12,Juniper,JNPR,17-Dec-15,17,12,2015,-1.6000009999999991,1
13,Sony,SNE,31-May-11,31,5,2011,0.0,0
14,Terracom,TER.AX,23-May-13,23,5,2013,0.0,0
15,Adobe,ADBE,03-Oct-13,3,10,2013,0.0,0
16,Target,TGT,01-Jan-14,1,1,2014,0.0,0
17,Ebay,EBAY,21-Mar-14,21,3,2014,0.0,0
18,Home Depot,HD,02-Sep-14,2,9,2014,0.0,0
19,Google,GOOG,10-Sep-14,10,9,2014,0.0,0
20,Sony,SNE,08-Dec-14,8,12,2014,0.0,0
21,Premera,ESRX,29-Jan-15,29,1,2015,0.0,0
22,Anthem,ANTM,04-Feb-15,4,2,2015,0.0,0
23,Experian,EXPN.L,01-Oct-15,1,10,2015,0.0,0
24,TalkTalk,TALK.L,06-Nov-15,6,11,2015,0.0,0
25,Juniper,JNPR,17-Dec-15,17,12,2015,0.0,0
